Ordnungszahl,Name,Zustand,Typ,Orte
000,None,None,None,None
001,Wasserstoff,Gas,Ressource,Atmosphären Sterne
001,Flüssiger Wasserstoff,Flüssig,Ressource,None
001,Gefrorener Wasserstoff,Fest,Ressource,None
002,Helium,Gas,Ressource,Atmosphären Sterne
002,Flüssiges Helium,Flüssig,Ressource,None
002,Gefrorener Helium,Fest,Ressource,None
003,Lithium,Fest,Ressource,Trockene Kühle+ Planeten Asteroiden
004,Beryllium,Fest,Ressource,Planeten Asteroiden
005,Bor,Fest,Ressource,Planeten Asteroiden
006,Kohlenstoff(Elementar),Fest,Ressource,Luftlose Planeten Kohlenstoff-Asteroiden
007,Stickstoff,Gas,Ressource,Atmosphere Sterne
007,Flüssiger Stickstoff,Flüssig,Ressource,None
007,Gefrorener Stickstoff,Fest,Ressource,None
008,Sauerstoff,Gas,Ressource,Atmoshären Sterne
008,Flüssiger Sauerstoff,Flüssig,Ressource,None
008,Gefrorener Sauerstoff,Fest,Ressource,None
009,Fluor,Gas,Ressource,Atmosphäre
009,Flüssiges Fluor,Flüssig,Ressource,None
009,Gefrorener Fluor,Fest,Ressource,None
010,Neon,Gas,Ressource,Atmosphäre
010,Flüssiges Neon,Flüssig,Ressource,None
010,Gefrorener Neon,Fest,Ressource,None
011,Natrium,Fest,Ressource,Trockene Kühle+ Planeten Asteroiden
012,Magnesium,Fest,Ressource,Planeten Asteroiden
013,Aluminium,Fest,Ressource,Planeten Asteroiden
014,Silicium,Fest,Ressource,Überall
015,Phosphor,Fest,Ressource,STC
016,Schwefel,Fest,Ressource,STC
017,Chlor,Gas,Ressource,Atmosphären
017,Flüssiges Chlor,Flüssig,Ressource,None
017,Gefrorener Chlor,Fest,Ressource,None
018,Argon,Gas,Ressource,Atmosphären
018,Flüssiges Argon,Flüssig,Ressource,None
018,Gefrorener Argon,Fest,Ressource,None
019,Kalium,Fest,Ressource,Trockene Kühle+ Planeten Asteroiden
020,Kalzium,Fest,Ressource,STC
021,Skandium,Fest,Ressource,STC
022,Titanium,Fest,Ressource,STC
023,Vanadium,Fest,Ressource,STC
024,Chrom,Fest,Ressource,STC
025,Mangan,Fest,Ressource,STC
026,Eisen,Fest,Ressource,ÜberallSTC
027,Kobalt,Fest,Ressource,STC
028,Nickel,Fest,Ressource,STC
029,Kupfer,Fest,Ressource,STC
030,Zink,Fest,Ressource,STC
031,Gallium,Flüssig,Ressource,STC
032,Germanium,Fest,Ressource,STC
033,Arsen,Fest,Ressource,STC
034,Selen,Fest,Ressource,STC
035,Brom,Flüssig,Ressource,STC
036,Krypton,Gas,Ressource,Atmosphäre
036,Flüssiges Krypton,Flüssig,Ressource,None
036,Gefrorener Krypton,Fest,Ressourcen,None
